Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,Fort Washington,MD,20744,San Clemente,CA,92672,1475,COD/COP,2712,1,1990 mercedes-benz 560,Runs,ENCLOSED,2023-02-08,29290724,http:iTruckify.com/9ogss,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,100.0,Washington - Arlington - Alexandria,Los Angeles - Long Beach - Anaheim,38.754528,-77.004762,33.392882,-117.529632,02_06_2023_07_19,02_06_2023_11_08
CAR,Dundalk,MD,21222,Shawano,WI,54166,1100,TEN_BUSINESS_DAYS,942,1,1993 tvr chimaera,Runs,ENCLOSED,2023-02-06,11279219,TWIC card needed - Text 954-825-6091,"ShipYourCarNow, LLC",(917) 933-5723,cdfdtest@shipyourcarnow.com,99.7,Baltimore - Towson,Not specified,39.257662,-76.495098,44.753555,-88.668795,02_06_2023_07_19,02_06_2023_12_43
CAR,Columbia,MD,21046,Liberty,NC,27298,300,TWO_BUSINESS_DAYS,342,1,1998 chevrolet corvette,Runs,ENCLOSED,2023-02-03,EF - 1998 Corvette,Contact Pickup/Delivery at least an hour in advance ,Eldred Auto Management LLC,(954) 248-3503,customersupport@exoticcartrader.com,100.0,Baltimore - Towson,Greensboro - High Point,39.175036,-76.837241,35.887051,-79.563156,02_06_2023_07_19,02_06_2023_08_48
CAR,Baltimore,MD,21202,Sacramento,CA,95813,1800,TWO_BUSINESS_DAYS,2742,1,2002 acura rsx,Runs,ENCLOSED,2023-02-11,RD76956,"Actual PU LEONARDTOWN, MD 20650 DEL FALLON, NV 89406",RCG Logistics LLC 1,(916) 573-6599,ship@rcglogistics.com,100.0,Baltimore - Towson,Sacramento - Arden-Arcade - Roseville,39.295824,-76.607773,38.5817,-121.4934,02_06_2023_07_19,02_06_2023_14_56
CAR,Baltimore,MD,21202,Reno,NV,89510,1800,TWO_BUSINESS_DAYS,2641,1,2002 acura rsx,Runs,ENCLOSED,2023-02-11,RD76956,"Actual PU LEONARDTOWN, MD 20650 DEL FALLON, NV 89406",RCG Logistics LLC 1,(916) 573-6599,ship@rcglogistics.com,100.0,Baltimore - Towson,Reno - Sparks,39.295824,-76.607773,39.881942,-119.617604,02_06_2023_07_19,02_06_2023_14_56
CAR,Baltimore,MD,21230,Olive Branch,MS,38654,1050,COD/COP,922,1,2018 dodge charger,Runs,ENCLOSED,2023-02-06,UP20394 -A,Actual Pickup VA - Leesburg 20176 ,Tempus Logix,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Baltimore - Towson,Memphis,39.264256,-76.621678,34.911047,-89.81274,02_06_2023_07_19,02_06_2023_07_26
CAR,worcester,MA,1601,the villages,FL,32163,975,COD/COP,1242,1,1970 oldsmobile cutlass supreme,Runs,ENCLOSED,2023-02-13,1717953,"actual p/u in amenia,ny 12501.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Worcester,Not specified,42.2627,-71.8028,28.93,-81.95,02_06_2023_07_19,02_06_2023_14_56
CAR,worcester,MA,1601,folsom,CA,95630,2050,COD/COP,2967,1,1950 mercury monterey,Runs,ENCLOSED,2023-01-27,1707890,"actual p/u in buffalo,ny 14221.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Worcester,Sacramento - Arden-Arcade - Roseville,42.2627,-71.8028,38.664532,-121.145,02_06_2023_07_19,02_06_2023_14_56
CAR,wenham,MA,1984,conway,SC,29526,1200,COD/COP,883,1,2001 chevrolet corvette,Runs,ENCLOSED,2023-02-07,29699,have contract down pmt 702-342-1058,American Auto Shipping,(702) 342-1058,dispatch@americanautoshipping.com,100.0,Boston - Cambridge - Quincy,Myrtle Beach - Conway - North Myrtle Beach,42.601974,-70.872882,33.870176,-78.984769,02_06_2023_07_19,02_06_2023_09_52
CAR,walpole,MA,2081,santa clara,CA,95051,1700,COD/COP,3129,1,2021 chevrolet camaro,Runs,ENCLOSED,2023-02-06,1717801,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Boston - Cambridge - Quincy,San Jose - Sunnyvale - Santa Clara,42.150832,-71.258996,37.350372,-121.98475,02_06_2023_07_19,02_06_2023_07_57
SUV,Swampscott,MA,1907,North Palm Beach,FL,33408,1500,COD/COP,1443,1,2018 land rover range rover velar,Runs,ENCLOSED,2023-02-08,303,text only 413-455-3958,"Kwik Trans, Inc",(413) 455-3958,kwiktransinc@gmail.com,99.7,Boston - Cambridge - Quincy,Miami - Fort Lauderdale - Pompano Beach,42.47517,-70.904971,26.848664,-80.058839,02_06_2023_07_19,02_06_2023_12_37
CAR,somerset,MA,2726,conway,SC,29526,800,COD/COP,848,1,1972 chevrolet el camino,Runs,ENCLOSED,2023-02-14,3945289-at,ready on feb 13th,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,Providence - New Bedford - Fall River,Myrtle Beach - Conway - North Myrtle Beach,41.757258,-71.150943,33.870176,-78.984769,02_06_2023_07_19,02_06_2023_14_56
CAR,Plymouth,MA,2360,Sun City West,AZ,85375,1400,FIVE_BUSINESS_DAYS,2733,1,1964 dodge polara,Runs,ENCLOSED,2023-02-07,Q8316,Not specified,Tempus Logix 2,(818) 942-7020,dispatchtempuslogix@gmail.com,100.0,Boston - Cambridge - Quincy,Phoenix - Mesa - Glendale,41.873369,-70.639662,33.674346,-112.365296,02_06_2023_07_19,02_06_2023_14_56
CAR,Peabody,MA,1960,Saint Paul,MN,55115,1300,COD/COP,1401,1,2009 aston martin db9,Runs,ENCLOSED,2023-02-03,2900,Not specified,Natale's Transport LLC 2,(401) 225-7900,natalestransport@cox.net,100.0,Boston - Cambridge - Quincy,Minneapolis - St. Paul - Bloomington,42.532576,-70.97366,45.06991,-92.946788,02_06_2023_07_19,02_06_2023_07_57
CAR,Newton Highlands,MA,2461,Naples,FL,34110,775,COD/COP,1496,1,2002 ford thunderbird,Runs,ENCLOSED,2023-02-06,10209678,James (404) 446-3921 Ready Contract sign ,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Boston - Cambridge - Quincy,Naples - Marco Island,42.314007,-71.20848,26.299119,-81.78955,02_06_2023_07_19,02_06_2023_14_56
CAR,Newton,MA,2467,Monroe Township,NJ,08831,500,FIFTEEN_BUSINESS_DAYS,258,1,2018 fiat 124 spider,Runs,ENCLOSED,2023-02-06,9344-CR,Not specified,Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,Boston - Cambridge - Quincy,New York - Northern New Jersey - Long Island,42.318788,-71.15699,40.331234,-74.41699,02_06_2023_07_19,02_06_2023_08_42
CAR,Newburyport,MA,1950,Hayward,CA,94542,3000,FIFTEEN_BUSINESS_DAYS,3153,1,2022 dodge charger,Runs,ENCLOSED,2023-02-06,9335-A,"Actual PU in Scarborough, ME",Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,Boston - Cambridge - Quincy,San Francisco - Oakland - Fremont,42.81423,-70.874524,37.65345,-122.032614,02_06_2023_07_19,02_06_2023_08_32
CAR,natick,MA,1760,sunnyvale,CA,94085,1750,COD/COP,3118,1,2021 toyota gr supra,Runs,ENCLOSED,2023-02-13,34960739,Not specified,Yorkie Auto LLC,(614) 432-6666,inventory@yorkieauto.com,100.0,Boston - Cambridge - Quincy,San Jose - Sunnyvale - Santa Clara,42.28715,-71.352332,37.3886,-122.016779,02_06_2023_07_19,02_06_2023_13_03
PICKUP,millbury,MA,1527,kemah,TX,77565,3450,COD/COP,1810,1,2022 dodge ram 3500,Runs,ENCLOSED,2023-02-06,30428958-as,signed contract asap call text 865 328-7474,Albatross Auto Shipping LLC,(865) 381-8015,info@albatrossllc.net,100.0,Worcester,Houston - Sugar Land - Baytown,42.1908,-71.779474,29.535133,-95.032746,02_06_2023_07_19,02_06_2023_08_09
SUV,Millbury,MA,1527,Kemah,TX,77565,1150,COD/COP,1810,1,2023 gmc youkon,Runs,ENCLOSED,2023-02-06,11220744,need team drivers/p.up Fri/del. Sun/3053957619,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,Worcester,Houston - Sugar Land - Baytown,42.1908,-71.779474,29.535133,-95.032746,02_06_2023_07_19,02_06_2023_14_56
PICKUP,Millbury,MA,1527,Kemah,TX,77565,3400,COD/COP,1810,1,2022 dodge ram 3500 single wheel,Runs,ENCLOSED,2023-02-05,enclosed truck,needs delivery by tuesday,National Car Shipping,(954) 415-6200,justinbhealth@gmail.com,97.0,Worcester,Houston - Sugar Land - Baytown,42.1908,-71.779474,29.535133,-95.032746,02_06_2023_07_19,02_06_2023_14_56
CAR,Kingsville,MD,21087,Leavenworth,KS,66048,1100,COD/COP,1131,1,1964 jaguar xke,Runs,ENCLOSED,2023-02-10,11090695,call/text 954-764-9506,"Mercury Auto Transport, Inc.1",(954) 239-2597,matt@mercuryautotransport.com,99.9,Baltimore - Towson,Kansas City,39.447357,-76.418264,39.295579,-94.984438,02_06_2023_07_19,02_06_2023_14_56
CAR,Marshall,MN,56258,Hutchinson,MN,55350,305,COD/COP,0,1,2007 chevrolet corvette convertible,Runs,ENCLOSED,2023-02-06,11037279,Simon (404) 400-5293 || Ready for dispatch,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Not specified,Not specified,44.471199,-95.745994,44.890535,-94.433988,02_06_2023_07_19,02_06_2023_08_48
CAR,leonardtown,MD,20650,fallon,NV,89406,1800,COD/COP,2648,1,2002 acura rsx,Runs,ENCLOSED,2023-02-11,rd76956a,Not specified,RCG Logistics LLC 1,(916) 573-6599,ship@rcglogistics.com,100.0,California - Lexington Park,Not specified,38.263075,-76.632899,39.537984,-118.343593,02_06_2023_07_19,02_06_2023_14_56
CAR,Poolesville,MD,20837,Dallas,TX,75287,1100,COD/COP,1337,1,1985 ferrari 308 gts quattrovalvole,Runs,ENCLOSED,2023-02-17,11272036,**Please call or text Jacob @ 954-655-4296**,Across America Auto Relocation LLC,954-655-4296,acrossamericaautorel@gmail.com,98.2,Washington - Arlington - Alexandria,Dallas - Fort Worth - Arlington,39.116546,-77.414994,33.002005,-96.84312,02_06_2023_07_19,02_06_2023_14_56
CAR,carleton,MI,48117,tomball,TX,77377,1150,COD/COP,1278,1,2022 chevrolet corvette,Runs,ENCLOSED,2023-02-05,1718024,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Monroe,Houston - Sugar Land - Baytown,42.037782,-83.42102,30.057948,-95.68256,02_06_2023_07_19,02_06_2023_09_39
CAR,Birmingham,MI,48009,Dallas,TX,75229,1200,TWO_BUSINESS_DAYS,1230,1,2023 lamborghini huracan,Runs,ENCLOSED,2023-02-03,STO,Not specified,Platinum Motor Cars,(248) 313-2800,erica@pmcdetroit.com,100.0,Detroit - Warren - Livonia,Dallas - Fort Worth - Arlington,42.545787,-83.215454,32.89286,-96.864142,02_06_2023_07_19,02_06_2023_11_24
SUV,auburn hills,MI,48326,normal,IL,61761,1475,COD/COP,408,1,2022 rivian r1s,Inop,ENCLOSED,2023-02-08,rd79656a,Not specified,RCG Logistics LLC 1,(916) 573-6599,ship@rcglogistics.com,100.0,Detroit - Warren - Livonia,Bloomington,42.664736,-83.274612,40.535104,-88.934452,02_06_2023_07_19,02_06_2023_07_32
SUV,auburn hills,MI,48326,college park,GA,30349,854,COD/COP,764,1,2022 porsche macan,Runs,ENCLOSED,2023-02-09,26413,Not specified,SSR Logistics LLC,(469) 270-7619,dispatch@ssrlogistics.com,100.0,Detroit - Warren - Livonia,Atlanta - Sandy Springs - Marietta,42.664736,-83.274612,33.62189,-84.521194,02_06_2023_07_19,02_06_2023_08_29
SUV,auburn hills,MI,48326,college park,GA,30349,854,COD/COP,764,1,2021 porsche macan,Runs,ENCLOSED,2023-02-09,26409,Not specified,SSR Logistics LLC,(469) 270-7619,dispatch@ssrlogistics.com,100.0,Detroit - Warren - Livonia,Atlanta - Sandy Springs - Marietta,42.664736,-83.274612,33.62189,-84.521194,02_06_2023_07_19,02_06_2023_08_29
CAR,auburn hills,MI,48326,college park,GA,30349,854,COD/COP,764,1,2021 porsche taycan,Runs,ENCLOSED,2023-02-09,26414,Not specified,SSR Logistics LLC,(469) 270-7619,dispatch@ssrlogistics.com,100.0,Detroit - Warren - Livonia,Atlanta - Sandy Springs - Marietta,42.664736,-83.274612,33.62189,-84.521194,02_06_2023_07_19,02_06_2023_08_29
CAR,Scarborough,ME,4074,Hayward,CA,94542,3000,FIFTEEN_BUSINESS_DAYS,3211,1,2022 dodge charger,Runs,ENCLOSED,2023-02-06,9335-CR,Not specified,Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,Portland - South Portland - Biddeford,San Francisco - Oakland - Fremont,43.591658,-70.373274,37.65345,-122.032614,02_06_2023_07_19,02_06_2023_08_32
CAR,portland,ME,4101,the villages,FL,32163,1155,COD/COP,1382,1,2011 porsche panamera,Runs,ENCLOSED,2023-02-09,1715096,"actual p/u in meredith,nh 03253.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Portland - South Portland - Biddeford,Not specified,43.660796,-70.261277,28.93,-81.95,02_06_2023_07_19,02_06_2023_08_03
CAR,Portland,ME,4101,Norfolk,VA,23501,600,THIRTY_BUSINESS_DAYS,677,1,1993 toyota supra,Inop,ENCLOSED,2023-02-07,RD80237,"Actual PUL: Cambridge, MA; DEL: Newark, DE",RCG Logistics LLC 1,(916) 573-6599,ship@rcglogistics.com,100.0,Portland - South Portland - Biddeford,Virginia Beach - Norfolk - Newport News,43.660796,-70.261277,36.8511,-76.2784,02_06_2023_07_19,02_06_2023_14_56
CAR,Gardiner,ME,4345,Sebring,FL,33870,1200,COD/COP,1540,1,1958 chevrolet brookwood,Inop,ENCLOSED,2023-02-06,9829372,(404) 400-2852 || Please text me ,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Not specified,Not specified,44.196526,-69.8019,27.500602,-81.382351,02_06_2023_07_19,02_06_2023_14_56
CAR,Augusta,ME,4338,Pontiac,MI,48340,1100,COD/COP,996,1,1962 chrysler imperial,Runs,ENCLOSED,2023-02-08,Not specified,Call/ Text 855-440-2832,Cuda Express Logistics,(855) 440-2832,bryan@cudalogistics.com,100.0,Not specified,Detroit - Warren - Livonia,44.3108,-69.7803,42.668599,-83.290343,02_06_2023_07_19,02_06_2023_14_22
CAR,Woodbine,MD,21797,Ontario,CA,91762,1400,IMMEDIATELY,2605,1,1967 chevrolet nova,Runs,ENCLOSED,2023-02-07,DB1604,Direct Payment Zelle,DB Auto Relocation Service,(520) 591-5305,dbdrivernetwork@gmail.com,100.0,Baltimore - Towson,Riverside - San Bernardino - Ontario,39.352614,-77.077784,34.032424,-117.635293,02_06_2023_07_19,02_06_2023_14_56
CAR,westminster,MD,21157,southwest ranches,FL,33331,900,COD/COP,1100,1,2022 dodge charger,Runs,ENCLOSED,2023-02-02,343742,Not specified,Direct Express Auto Transport,(415) 482-8556,info@autotransportdirect.com,97.3,Baltimore - Towson,Miami - Fort Lauderdale - Pompano Beach,39.555281,-76.990516,26.065832,-80.370922,02_06_2023_07_19,02_06_2023_10_14
CAR,upper marlboro,MD,20772,rosharon,TX,77583,1100,COD/COP,1461,1,2008 lexus is350,Runs,ENCLOSED,2023-02-14,240983-70811,Not specified,Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Washington - Arlington - Alexandria,Houston - Sugar Land - Baytown,38.781028,-76.778818,29.408696,-95.442095,02_06_2023_07_19,02_06_2023_14_56
CAR,thurmont,MD,21788,tempe,AZ,85282,1450,FIFTEEN_BUSINESS_DAYS,2245,1,2015 bmw 428i,Runs,ENCLOSED,2023-02-04,65031,HARDSIDE / LIFTGATE NEEDED ,4 Corners Transport Services,(360) 210-7665,info@fourcornerstransportservices.com,100.0,Washington - Arlington - Alexandria,Phoenix - Mesa - Glendale,39.594866,-77.423936,33.393896,-111.929062,02_06_2023_07_19,02_06_2023_14_56
CAR,Rockville,MD,20850,Springfield,IL,62703,700,COD/COP,778,1,1961 amphicar amphi,Runs,ENCLOSED,2023-02-14,Not specified,Not specified,Flemings Ultimate Garage Llc,(301) 816-1000,tony@flemingsultimategarage.com,92.6,Washington - Arlington - Alexandria,Springfield,39.08916,-77.190884,39.755006,-89.631625,02_06_2023_07_19,02_06_2023_12_16
CAR,Rockville,MD,20850,Incline Village,NV,89451,1700,COD/COP,2606,1,1966 ford mustang,Runs,ENCLOSED,2023-02-03,Not specified,Not specified,Flemings Ultimate Garage Llc,(301) 816-1000,tony@flemingsultimategarage.com,92.6,Washington - Arlington - Alexandria,Reno - Sparks,39.08916,-77.190884,39.281778,-119.921374,02_06_2023_07_19,02_06_2023_14_56
CAR,Rockville,MD,20850,Eau Claire,WI,54701,800,COD/COP,1000,1,1976 cadillac eldorado,Runs,ENCLOSED,2023-01-24,Not specified,Not specified,Flemings Ultimate Garage Llc,(301) 816-1000,tony@flemingsultimategarage.com,92.6,Washington - Arlington - Alexandria,Eau Claire,39.08916,-77.190884,44.749683,-91.51487,02_06_2023_07_19,02_06_2023_10_14
CAR,Rockville,MD,20847,Decatur,GA,30030,375,COD/COP,648,1,2009 porsche 911,Runs,ENCLOSED,2023-02-14,10390094,Anna 404-446-3911 // Ready for pick up,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Washington - Arlington - Alexandria,Atlanta - Sandy Springs - Marietta,39.0839,-77.1534,33.7709,-84.292375,02_06_2023_07_19,02_06_2023_14_56
PICKUP,Reisterstown,MD,21136,Phoenix,AZ,85086,1550,COD/COP,2327,1,1997 ford f-350 crew cab long bed,Runs,ENCLOSED,2023-02-06,10949122,Anna 404-446-3911 / Ready for pick up,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Baltimore - Towson,Phoenix - Mesa - Glendale,39.485704,-76.798994,33.859694,-112.115872,02_06_2023_07_19,02_06_2023_14_56
CAR,prince frederick,MD,20678,saint helena island,SC,29920,550,COD/COP,564,1,1968 plymouth roadrunner,Inop,ENCLOSED,2023-02-07,29386878,Not specified,Travelers Auto Transport Inc,(516) 724-6888,info@travelersautotransport.com,98.4,Washington - Arlington - Alexandria,Not specified,38.508754,-76.595554,32.37773,-80.53973,02_06_2023_07_19,02_06_2023_14_56
CAR,prince frederick,MD,20678,tacoma,WA,98421,1500,COD/COP,2820,1,2015 dodge challenger,Runs,ENCLOSED,2023-02-10,146512,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Washington - Arlington - Alexandria,Seattle - Tacoma - Bellevue,38.508754,-76.595554,47.259358,-122.396924,02_06_2023_07_19,02_06_2023_14_56
CAR,Poolesville,MD,20837,Goshen,KY,40026,625,COD/COP,591,1,1988 porsche 944,Runs,ENCLOSED,2023-02-06,11245200,**Please call or text Jacob @ 954-655-4296**,Across America Auto Relocation LLC,954-655-4296,acrossamericaautorel@gmail.com,98.2,Washington - Arlington - Alexandria,Louisville/Jefferson County,39.116546,-77.414994,38.430282,-85.528958,02_06_2023_07_19,02_06_2023_14_56
CAR,lutherville timonium,MD,21093,west bend,WI,53090,600,COD/COP,834,1,2022 chevrolet corvette coupe,Runs,ENCLOSED,2023-02-09,3999409-at,ready feb 9th,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,Baltimore - Towson,Milwaukee - Waukesha - West Allis,39.437602,-76.638678,43.472446,-88.191663,02_06_2023_07_19,02_06_2023_14_56
CAR,Minneapolis,MN,55426,Lincoln,MA,01773,1400,FIVE_BUSINESS_DAYS,1396,1,2020 bmw m2 coupe,Runs,ENCLOSED,2023-02-07,315824,CARRIER GUARANTEES  DELIVERY BETWEEN  FEBRUARY 12TH  -  17TH,Angels Moving Autos,(530) 245-0629,angelsmovingautos@gmail.com,99.6,Minneapolis - St. Paul - Bloomington,Boston - Cambridge - Quincy,44.952604,-93.384651,42.427159,-71.312442,02_06_2023_07_19,02_06_2023_14_56
CAR,Minneapolis,MN,55403,Spring,TX,77373,1100,COD/COP,1160,1,1972 chevrolet chevelle,Runs,ENCLOSED,2023-02-10,11126018,SIGNED CONTRACT CALL 5617719244,Relocation Gurus LLC,(305) 564-2983,support@relocationgurus.com,93.1,Minneapolis - St. Paul - Bloomington,Houston - Sugar Land - Baytown,44.972874,-93.287471,30.071907,-95.373125,02_06_2023_07_19,02_06_2023_10_10
CAR,monticello,MN,55362,fort myers,FL,33908,1300,COD/COP,1760,1,1964 buick riviera,Runs,ENCLOSED,2023-02-04,1717379,"actual p/u in fergus falls,mn 56537.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Minneapolis - St. Paul - Bloomington,Cape Coral - Fort Myers,45.311652,-93.801732,26.487279,-81.923678,02_06_2023_07_19,02_06_2023_07_54
CAR,williston,ND,58801,temple,TX,76502,800,COD/COP,1484,1,2019 yamaha vmax,Runs,ENCLOSED,2023-02-01,1715572,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Not specified,Killeen - Temple - Fort Hood,48.209139,-103.661174,31.101709,-97.40705,02_06_2023_07_19,02_06_2023_14_56
CAR,velva,ND,58790,hollidaysburg,PA,16648,1800,COD/COP,1443,1,1969 ford torino,Inop,ENCLOSED,2023-02-10,4223922,car and box of part,Moverjet Logistics LLC,(302) 248-5115,dispatch@moverjetlogistics.com,99.5,Not specified,Altoona,48.035186,-100.933737,40.437362,-78.327034,02_06_2023_07_19,02_06_2023_14_56
CAR,minot,ND,58701,tulsa,OK,74128,1300,COD/COP,1094,1,1957 ford fairlane 500,Runs,ENCLOSED,2023-02-06,146179,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Not specified,Tulsa,48.087121,-101.317866,36.147112,-95.851743,02_06_2023_07_19,02_06_2023_08_22
CAR,minot,ND,58701,oklahoma city,OK,73111,1300,COD/COP,1035,1,1957 ford fairlane 500,Runs,ENCLOSED,2023-02-06,146179-3,"pul: minot,nd 58701 del: tulsa,ok 74128",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Not specified,Oklahoma City,48.087121,-101.317866,35.518519,-97.475938,02_06_2023_07_19,02_06_2023_08_22
CAR,minot,ND,58701,kansas city,MO,64111,1300,COD/COP,889,1,1957 ford fairlane 500,Runs,ENCLOSED,2023-02-06,146179-2,"pul: minot,nd 58701 del: tulsa,ok 74128",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Not specified,Kansas City,48.087121,-101.317866,39.057304,-94.59371,02_06_2023_07_19,02_06_2023_08_22
CAR,fargo,ND,58103,dallas,TX,75215,1300,COD/COP,1080,1,1957 ford fairlane 500,Runs,ENCLOSED,2023-02-06,146179-1,"pul: minot,nd 58701 del: tulsa,ok 74128",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Fargo,Dallas - Fort Worth - Arlington,46.854703,-96.823065,32.751138,-96.764729,02_06_2023_07_19,02_06_2023_08_22
PICKUP,bismarck,ND,58504,miami,FL,33155,1900,COD/COP,2230,1,1989 chevrolet s10,Runs,ENCLOSED,2022-12-28,Not specified,Not specified,House of Boost,(786) 487-9775,turbochrisss@gmail.com,100.0,Bismarck,Miami - Fort Lauderdale - Pompano Beach,46.711389,-100.649356,25.736516,-80.310886,02_06_2023_07_19,02_06_2023_14_56
SUV,Winston Salem,NC,27106,Tulsa,OK,74103,1375,FIFTEEN_BUSINESS_DAYS,1061,1,2021 mercedes-benz gle,Runs,ENCLOSED,2023-02-03,38777,HARDSIDE ONLY! - NO DEL BEFORE 02/08,Beacon Shipping Logistics,(401) 525-0654,dispatch@bslusa.com,100.0,Winston - Salem,Tulsa,36.148011,-80.324205,36.155712,-95.99407,02_06_2023_07_19,02_06_2023_07_38
PICKUP,winston salem,NC,27127,littleton,CO,80123,1750,COD/COP,1596,1,2023 ford f-150 crew cab,Runs,ENCLOSED,2023-02-03,245683-66909,"destination: colorado springs,co 80908",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Winston - Salem,Denver - Aurora,36.022309,-80.290864,39.613606,-105.063244,02_06_2023_07_19,02_06_2023_10_07
PICKUP,winston salem,NC,27127,colorado springs,CO,80908,1750,COD/COP,1559,1,2023 ford f-150 crew cab,Runs,ENCLOSED,2023-02-03,245683-66907,Not specified,Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Winston - Salem,Colorado Springs,36.022309,-80.290864,39.022441,-104.698044,02_06_2023_07_19,02_06_2023_10_07
CAR,Wilmington,NC,28405,Pacoima,CA,91331,1800,COD/COP,2616,1,2009 pontiac solstice,Runs,ENCLOSED,2023-02-15,77934,Not specified,Nationwide United Auto Transport Corp,(323) 648-3531,info@nationwideunitedautotransport.com,100.0,Wilmington,Los Angeles - Long Beach - Anaheim,34.27068,-77.859495,34.256679,-118.418553,02_06_2023_07_19,02_06_2023_14_56
CAR,Weaverville,NC,28787,Las Vegas,NV,89199,1750,COD/COP,2075,1,1970 plymouth super series,Runs,ENCLOSED,2023-02-04,TT-S23,Call or Text for Details 775-291-9392 ,TRANS TECH FREIGHT SYSTEMS LLC,(775) 291-9392,cliff@transtechfreightsystems.com,98.2,Asheville,Las Vegas - Paradise,35.730416,-82.514511,36.1743,-115.1391,02_06_2023_07_19,02_06_2023_09_19
CAR,Stokesdale,NC,27357,Cedar Rapids,IA,52401,1050,FIVE_BUSINESS_DAYS,927,1,2022 chevrolet camaro,Runs,ENCLOSED,2023-02-11,ZAS-039823,PRIVATE - PRIVATE / ENCLOSED HARDSIDE,Zenith Automotive Solutions LLC,(919) 307-9357,zenithautomotivellc@gmail.com,100.0,Greensboro - High Point,Cedar Rapids,36.26935,-79.972774,41.974698,-91.655401,02_06_2023_07_19,02_06_2023_14_56
SUV,Siloam,NC,27047,San Francisco,CA,94123,1850,IMMEDIATELY,2735,1,2022 land rover defender,Runs,ENCLOSED,2023-02-06,HBT-8691,Call or text (919) 439-9005,HBTransit,(919) 439-9005,dispatch@hbtransit.com,100.0,Not specified,San Francisco - Oakland - Fremont,36.31518,-80.581493,37.801844,-122.436531,02_06_2023_07_19,02_06_2023_14_56
CAR,rougemont,NC,27572,denver,CO,80249,1400,COD/COP,1650,1,2021 ford gt,Runs,ENCLOSED,2023-02-06,1711515,delivery on or after 02/14,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Durham,Denver - Aurora,36.252422,-78.894862,39.837435,-104.712632,02_06_2023_07_19,02_06_2023_10_35
CAR,Raleigh,NC,27613,Jacksonville,FL,32203,600,COD/COP,466,1,2020 porsche 911,Runs,ENCLOSED,2023-02-06,911 text anytime,Not specified,SBN Trucking LLC,(904) 540-9104,j.sbnlogistics@gmail.com,100.0,Raleigh - Cary,Jacksonville,35.923982,-78.716682,30.3388,-81.6714,02_06_2023_07_19,02_06_2023_09_07
PICKUP,raleigh,NC,27602,colorado springs,CO,80908,1750,COD/COP,1655,1,2023 ford f-150 crew cab,Runs,ENCLOSED,2023-02-03,245683-66908,"origin: winston salem,nc 27127",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Raleigh - Cary,Colorado Springs,35.7719,-78.6388,39.022441,-104.698044,02_06_2023_07_19,02_06_2023_10_07
SUV,Raeford,NC,28376,Daly City,CA,94014,1600,COD/COP,2851,1,2020 jeep grand cherokee,Runs,ENCLOSED,2023-02-05,11195418,Contract signed,Onroad Transport And Logistics LLC,(888) 205-5800,dispatch@onroadtransport.com,99.0,Fayetteville,San Francisco - Oakland - Fremont,34.978726,-79.247015,37.686703,-122.438245,02_06_2023_07_19,02_06_2023_08_06
